Walk the Prank,DISNEYXD,113454,113898,-0.0039134804
Sanford and Son,TVONE,124689,124521,0.0013473522
Walk the Prank,DISNEYXD,117662,117415,0.0020992334
Sanford and Son,TVONE,136277,133878,0.017603851
Sanford and Son,TVONE,146921,144477,0.0166347901
E! News,E!,335723,352028,-0.0485668244
The Thundermans,NICK,759624,732774,0.0353464346
Baggage Claim,BET,225302,205531,0.0877533266
Sanford and Son,TVONE,158256,154652,0.0227732282
So Cosmo,E!,193570,203791,-0.0528026037
Unsung,TVONE,166367,160986,0.0323441548
Black Ink Crew,VH1,821368,850208,-0.0351121544
Unsung,TVONE,134567,132678,0.0140376169
Boy Meets World,TEENNCK,135501,135666,-0.0012177032
So Cosmo,E!,169303,170391,-0.006426348
Lab Rats,DISNEYXD,143532,143408,0.0008639188
So Cosmo,E!,169303,159006,0.06081995
Catfish: The TV Show,MTV,263564,251383,0.0462164787
CSI: Miami,WeTV,141528,144164,-0.0186252897
Milo Murphy's Law,DISNEYXD,130785,129635,0.0087930573
So Cosmo,E!,137988,131754,0.0451778416
Catfish: The TV Show,MTV,263564,265394,-0.0069432851
Star Wars Rebels,DISNEYXD,89531,94371,-0.0540594878
Friends,NICK,519247,520598,-0.0026018446
CSI: Miami,WeTV,147703,157447,-0.065970224
Catfish: The TV Show,MTV,134215,134774,-0.0041649592
Rocko's Modern Life,TEENNCK,66071,59110,0.1053563591
Black Ink Crew,VH1,236209,213958,0.094200475
The Real Housewives of Beverly Hills,BRAVO,152156,146265,0.0387168432
Martin,BET,158431,156892,0.009714008
Unsung,TVONE,73278,67839,0.0742241873
E! News,E!,66424,63506,0.0439299049
Milo Murphy's Law,DISNEYXD,82379,84102,-0.0209155246
Keeping Up with the Kardashians,E!,81726,79610,0.0258913932
Lab Rats,DISNEYXD,74312,73064,0.0167940575
The Real Housewives of New York City,BRAVO,105617,104955,0.0062679304
Doraemon,DISNEYXD,61364,60097,0.0206472851
Nanny McPhee,FREEFORM,134431,125724,0.0647692868
Yo-Kai Watch,DISNEYXD,54987,53439,0.0281521087
Keeping Up with the Kardashians,E!,132208,135185,-0.0225175481
Nanny McPhee,FREEFORM,134431,140948,-0.0484784016
Milo Murphy's Law,DISNEYXD,90191,93611,-0.0379195263
Milo Murphy's Law,DISNEYXD,117922,119225,-0.0110496769
Nanny McPhee Returns,FREEFORM,188095,178962,0.0485552513
The Real Housewives of New York City,BRAVO,144920,142425,0.0172163953
E! News,E!,334765,349437,-0.0438277598
Sanford and Son,TVONE,126234,122459,0.02990478
Milo Murphy's Law,DISNEYXD,133730,131306,0.0181260749
Friends,MTV,207204,207008,0.0009459277
Black Ink Crew,VH1,230715,239682,-0.0388661335
The Real Housewives of Beverly Hills,BRAVO,298736,281764,0.0568127042
Nick Cannon Presents: Wild 'N Out,MTV,154706,150976,0.0241102478
Good Times,TVONE,125790,121825,0.0315207886
